State_Id,Country_Id,StateName
1,1,MD
2,1,DC
3,1,NY
4,1,CON
5,2,RJ
6,1,CA
7,1,IL
8,1,VA
9,1,WA
10,1,PA
11,3,TN
12,4,IST
13,1,FL
14,5,CON
15,1,MI
16,6,NT
17,7,HUN
18,8,HAR
19,1,MA
20,1,IN
21,1,TN
22,1,TX
23,7,CON
24,1,MN
25,7,GUA
26,1,NC
27,1,DE
28,1,MT
29,3,TS
30,1,OR
31,8,KAR
32,5,AE
33,1,GA
34,9,MB
35,9,AB
36,1,HI
37,3,CON
38,9,ON
39,10,KYO
40,9,NS
41,9,QC
42,1,CO
43,1,CT
44,11,CON
45,1,AL
46,1,KY
47,1,NH
48,1,OH
49,1,NJ
50,9,BC
51,8,CON
52,1,IA
53,10,CON
54,12,QRO
55,3,VT
56,2,CON
57,1,VT
58,11,SAL
59,11,MAD
60,1,WI
61,1,MS
62,7,TIA
63,11,BCN
64,4,TEK
65,3,BO
66,3,MI
67,1,UT
68,3,VI
69,4,ANT
70,1,MO
71,8,TG
72,7,SIC
73,1,LA
74,1,NM
75,1,NV
76,7,CHO
77,8,MAH
78,3,VE
79,1,ME
80,1,SC
81,1,AZ
82,7,JIA
83,2,MS
84,8,TN
85,3,AQ
86,7,SHA
87,12,CON
88,9,SK
89,11,TAR
90,3,TO
91,1,KS
92,7,CHA
93,2,PR
94,4,BUR
95,7,ZHE
96,4,KON
97,3,PD
98,8,GUJ
99,8,UP
100,4,AMA
101,3,FI
102,1,NE
103,3,NO
104,4,CON
105,3,BG
106,3,PE
107,3,BS
108,9,CON
109,4,ADA
110,11,VIZ
111,4,YAL
112,3,MS
113,1,ID
114,1,AR
115,12,BC
116,11,BUR
117,3,BI
118,2,RS
119,8,DEL
120,4,KOC
121,2,SP
122,4,CAN
123,8,WB
124,8,KER
125,12,CHI
126,4,IZM
127,3,VR
128,10,SOU
129,2,DF
130,10,CHÅ½
131,7,ANH
132,7,BEI
133,9,NL
134,4,K.M
135,4,BAT
136,4,ELA
137,6,HK
138,7,XNA
139,12,MEX
140,12,NL
141,8,RAJ
142,12,DF
143,10,TAE
144,11,LP
145,7,HUB
146,4,COR
147,3,RM
148,7,UC
149,8,CHH
150,4,ANK
151,4,MUG
152,4,ORD
153,8,ORI
154,2,SC
155,8,PUN
156,8,AP
157,3,PR
158,4,TOK
159,11,GRA
160,7,HAR
161,7,HOH
162,11,BAL
163,7,SHI
164,7,HAE
165,7,GUI
166,7,SHE
167,7,HEN
168,8,MP
169,7,YUN
170,3,PV
171,11,ALM
172,6,KLN
173,3,CN
174,7,FUJ
175,7,CD
176,6,CON
177,10,INC
178,11,CAN
